Date,Open,High,Low,Close,Volume,Adj Close
2015-06-16,86.919998,88.139999,86.760002,88.129997,000,88.129997
2015-06-15,86.779999,87.580002,86.150002,87.099998,000,87.099998
2015-06-12,87.419998,87.480003,86.940002,87.400002,000,87.400002
2015-06-11,87.559998,87.739998,86.849998,87.510002,000,87.510002
2015-06-10,86.800003,88.120003,86.760002,87.720001,000,87.720001
2015-06-08,85.150002,85.730003,85.120003,85.459999,000,85.459999
2015-06-05,84.25,85.290001,84.089996,85.279999,000,85.279999
2015-06-04,84.019997,84.32,83.419998,83.720001,000,83.720001
2015-06-03,83.440002,84.589996,83.419998,84.440002,000,84.440002
2015-06-02,81.900002,83.400002,81.900002,83.080002,000,83.080002
2015-06-01,82.650002,82.730003,81.510002,82.129997,000,82.129997
2015-05-28,82.709999,82.959999,82.410004,82.949997,000,82.949997
2015-05-27,82.190002,82.980003,81.82,82.879997,000,82.879997
2015-05-22,82.949997,83.160004,82.470001,82.529999,000,82.529999
2015-05-21,82.93,83.330002,82.57,82.980003,000,82.980003
2015-05-20,83.639999,83.639999,82.82,83.169998,000,83.169998
2015-05-19,83.089996,83.620003,83.040001,83.589996,000,83.589996
2015-05-18,81.470001,83.019997,81.459999,82.910004,000,82.910004
2015-05-15,82.559998,82.650002,81.050003,81.43,000,81.43
2015-05-14,82.589996,82.709999,82.269997,82.699997,000,82.699997
2015-05-13,82.040001,82.400002,81.519997,82.290001,000,82.290001
2015-05-08,80.980003,81.18,80.339996,81.040001,000,81.040001
2015-05-07,80.75,81.150002,80.230003,80.559998,000,80.559998
2015-05-06,80.440002,80.980003,79.900002,80.959999,000,80.959999
2015-05-05,80.400002,80.970001,80.050003,80.309998,000,80.309998
2015-05-04,79.93,80.860001,79.919998,80.699997,000,80.699997
2015-05-01,78.970001,78.970001,78.209999,78.760002,000,78.760002
2015-04-30,81.239998,81.669998,80.480003,80.57,000,80.57
2015-04-29,80.989998,82.110001,80.959999,81.529999,000,81.529999
2015-04-28,79.860001,81.209999,79.790001,81.190002,000,81.190002
2015-04-27,80.669998,81.199997,79.300003,79.82,000,79.82
2015-04-24,78.970001,78.970001,78.209999,78.760002,000,78.760002
2015-04-23,80.989998,81.489998,80.660004,81.269997,000,81.269997
2015-04-22,80.849998,81.389999,80.139999,81.199997,000,81.199997
2015-04-21,81.110001,81.529999,80.709999,80.82,000,80.82
2015-04-20,80.43,81.209999,80.139999,80.830002,000,80.830002
2015-04-17,80.919998,80.959999,79.849998,80.00,000,80.00
2015-04-16,78.970001,78.970001,78.209999,78.760002,000,78.760002
2015-04-15,80.599998,81.919998,80.400002,81.550003,000,81.550003
2015-04-14,80.790001,80.790001,79.870003,80.43,000,80.43
2015-04-13,79.970001,81.040001,79.970001,80.980003,000,80.980003
2015-04-10,79.989998,80.050003,79.540001,79.980003,000,79.980003
2015-04-09,79.870003,80.040001,79.080002,79.830002,000,79.830002
2015-04-08,79.959999,80.379997,79.760002,79.970001,000,79.970001
2015-04-07,78.970001,78.970001,78.209999,78.760002,000,78.760002
2015-04-06,78.970001,78.970001,78.209999,78.760002,000,78.760002
2015-04-02,79.68,80.419998,79.68,80.169998,000,80.169998
2015-04-01,79.75,79.879997,78.970001,79.739998,000,79.739998
2015-03-31,78.970001,78.970001,78.209999,78.760002,000,78.760002
2015-03-30,78.970001,78.970001,78.209999,78.760002,000,78.760002
2015-03-27,78.970001,78.970001,78.209999,78.760002,000,78.760002
2015-03-26,78.449997,79.050003,77.82,79.00,000,79.00
2015-03-25,79.940002,80.080002,78.57,78.57,000,78.57
2015-03-24,80.150002,80.230003,79.639999,79.919998,000,79.919998
2015-03-23,80.68,80.919998,79.830002,80.160004,000,80.160004
2015-03-20,79.589996,80.760002,79.580002,80.699997,000,80.699997
2015-03-19,79.690002,79.690002,78.760002,79.470001,000,79.470001
2015-03-18,80.449997,81.239998,79.389999,79.839996,000,79.839996
2015-03-17,80.050003,80.650002,79.610001,80.629997,000,80.629997
2015-03-16,80.57,80.75,80.040001,80.18,000,80.18
2015-03-13,80.68,80.68,79.269997,80.370003,000,80.370003
2015-03-12,78.980003,80.779999,78.980003,80.75,000,80.75
2015-03-11,78.00,78.599998,77.849998,78.57,000,78.57
2015-03-10,79.089996,79.089996,77.900002,77.900002,000,77.900002
2015-03-09,78.830002,79.68,78.830002,79.440002,000,79.440002
2015-03-06,78.129997,79.910004,78.029999,78.75,000,78.75
2015-03-05,77.889999,78.230003,77.089996,78.199997,000,78.199997
2015-03-04,78.199997,78.199997,77.589996,77.82,000,77.82
2015-03-03,78.629997,78.68,78.040001,78.25,000,78.25
2015-03-02,78.089996,78.900002,78.089996,78.720001,000,78.720001
2015-02-27,78.559998,78.699997,78.099998,78.110001,000,78.110001
2015-02-26,78.169998,78.68,78.089996,78.68,000,78.68
2015-02-25,78.519997,78.519997,78.07,78.269997,000,78.269997
2015-02-24,78.239998,79.080002,78.150002,78.550003,000,78.550003
2015-02-23,78.120003,78.139999,77.57,78.129997,000,78.129997
2015-02-20,77.68,78.370003,76.629997,78.370003,000,78.370003
2015-02-19,77.730003,78.07,76.940002,77.739998,000,77.739998
2015-02-18,79.150002,79.150002,77.639999,77.940002,000,77.940002
2015-02-17,78.720001,79.410004,78.370003,79.360001,000,79.360001
2015-02-13,78.459999,78.949997,78.220001,78.839996,000,78.839996
2015-02-12,77.260002,78.459999,77.260002,78.459999,000,78.459999
2015-02-11,77.239998,77.239998,76.50,76.919998,000,76.919998
2015-02-10,77.480003,77.690002,76.519997,77.400002,000,77.400002
2015-02-09,77.860001,77.860001,77.010002,77.059998,000,77.059998
2015-02-06,77.32,78.720001,77.32,78.160004,000,78.160004
2015-02-05,75.370003,77.07,75.370003,77.00,000,77.00
2015-02-04,75.449997,75.860001,75.089996,75.150002,000,75.150002
2015-02-03,74.129997,75.940002,74.129997,75.699997,000,75.699997
2015-02-02,72.099998,74.050003,72.00,74.029999,000,74.029999
2015-01-30,72.389999,72.970001,71.809998,71.849998,000,71.849998
2015-01-29,71.860001,72.93,71.440002,72.93,000,72.93
2015-01-28,74.190002,74.389999,71.75,71.870003,000,71.870003
2015-01-27,74.389999,74.519997,73.720001,74.010002,000,74.010002
2015-01-26,74.010002,74.959999,73.25,74.889999,000,74.889999
2015-01-23,75.160004,75.169998,73.830002,74.07,000,74.07
2015-01-22,71.889999,75.089996,71.889999,74.989998,000,74.989998
2015-01-21,71.989998,72.459999,71.449997,71.620003,000,71.620003
2015-01-20,72.779999,72.949997,71.599998,72.040001,000,72.040001
2015-01-16,71.080002,72.720001,71.010002,72.699997,000,72.699997
2015-01-15,72.150002,72.290001,71.18,71.339996,000,71.339996
2015-01-14,72.629997,72.629997,71.099998,72.199997,000,72.199997
2015-01-13,73.870003,74.889999,72.610001,73.290001,000,73.290001
2015-01-12,74.160004,74.239998,73.239998,73.459999,000,73.459999
2015-01-09,76.370003,76.410004,74.18,74.199997,000,74.199997
2015-01-08,75.459999,76.449997,75.459999,76.389999,000,76.389999
2015-01-07,74.949997,75.290001,74.389999,75.019997,000,75.019997
2015-01-06,76.330002,76.510002,74.220001,74.419998,000,74.419998
2015-01-05,78.00,78.00,76.239998,76.269997,000,76.269997
2015-01-02,79.650002,79.779999,77.400002,78.360001,000,78.360001
2014-12-31,80.379997,80.400002,79.230003,79.230003,000,79.230003
2014-12-30,80.059998,80.529999,79.800003,80.099998,000,80.099998
2014-12-29,79.470001,80.699997,79.459999,80.269997,000,80.269997
2014-12-26,79.459999,79.769997,79.300003,79.459999,000,79.459999
